pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pro/ret 2-4x,pro/ret 2-4y,pro/ret 2-4z,pt5_X',pt5_Y',pt5_Z',side (1-2),side (2-5'),side (5'-1) C,P/R comp¨,Pro/Ret Ang,ele/dep 3-4x,ele/dep 3-4y,ele/dep 3-4z,"pt5_X""","pt5_Y""","pt5_Z""",side 2-3,"side 3-5""","side 5""-1 C",E/D comp ¨,Ele/Dep Ang
17.244494,4.509368,11.026792,17.565222,3.963075,12.07075,17.457744,3.954068,11.1198,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.17616,2.135565,2.477523,18.665793,3.532655,11.306595,1.221126856,1.407284892,1.747097264,1.448507702,71.07519205,-0.283638,2.126558,1.526573,18.558315,3.523648,10.355645,0.957046785,1.407284892,2.030003684,2.042711484,131.3672903
17.242795,4.507393,11.017864,17.565222,3.963075,12.07075,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.17616,2.135565,2.477523,18.665793,3.532655,11.306595,1.228336348,1.407284892,1.748829056,1.445846582,65.64517011,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.95747741,1.407284892,2.030501104,2.042979949,128.1893139
17.246465,4.507942,11.032855,17.565222,3.963075,12.07075,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.17616,2.135565,2.477523,18.665793,3.532655,11.306595,1.214788913,1.407284892,1.743734582,1.448956806,69.94987816,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.95747741,1.407284892,2.030501104,2.042979949,129.5468758
17.245392,4.508679,11.023735,17.564791,3.968456,12.075303,17.458467,3.952085,11.120337,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.176591,2.140946,2.482076,18.665362,3.538036,11.311148,1.224602739,1.407284892,1.743866069,1.443072441,62.34237496,-0.282915,2.124575,1.52711,18.559038,3.521665,10.356182,0.961006173,1.407284892,2.035565353,2.046846336,128.3872169
17.24463,4.507667,11.02536,17.564791,3.968456,12.075303,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.176591,2.140946,2.482076,18.665362,3.538036,11.311148,1.22296029,1.407284892,1.743656638,1.443863471,64.73381126,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.962021839,1.407284892,2.035730098,2.045769406,127.3814291
17.24463,4.507667,11.02536,17.565222,3.963075,12.07075,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.17616,2.135565,2.477523,18.665793,3.532655,11.306595,1.221556355,1.407284892,1.746266245,1.447392681,63.68994341,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.95747741,1.407284892,2.030501104,2.042979949,128.1026975
17.24463,4.507667,11.02536,17.565222,3.963075,12.07075,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841908,1.397598,8.829511,NaN,NaN,NaN,-0.17616,2.135565,2.477523,18.665748,3.533163,11.307034,1.221556355,1.406856046,1.746016798,1.447453288,65.6216985,-0.283597,2.126043,1.52614,18.558311,3.523641,10.355651,0.95747741,1.406856046,2.029998173,2.042787483,127.469065
17.24463,4.507667,11.02536,17.565222,3.963075,12.07075,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.17616,2.135565,2.477523,18.665793,3.532655,11.306595,1.221556355,1.407284892,1.746266245,1.447392681,69.0138442,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.95747741,1.407284892,2.030501104,2.042979949,130.5809785
17.24463,4.507667,11.02536,17.565438,3.960385,12.068472,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.220867726,1.407284892,1.747580176,1.449161951,69.51573564,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.955215235,1.407284892,2.027889369,2.041570186,129.7974186
17.24463,4.507667,11.02536,17.565438,3.960385,12.068472,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.220867726,1.407284892,1.747580176,1.449161951,70.53657787,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.955215235,1.407284892,2.027889369,2.041570186,130.3406714
17.24463,4.507667,11.02536,17.565438,3.960385,12.068472,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.220867726,1.407284892,1.747580176,1.449161951,68.61510612,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.955215235,1.407284892,2.027889369,2.041570186,130.2258973
17.24463,4.507667,11.02536,17.565438,3.960385,12.068472,17.457145,3.954504,11.117963,17.740739,1.828478,9.591834,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175301,2.131907,2.476638,18.666652,3.528997,11.30571,1.220867726,1.407328586,1.748867536,1.450449225,69.17104717,-0.283594,2.126026,1.526129,18.558359,3.523116,10.355201,0.956676183,1.407328586,2.027903797,2.039587417,130.6824195
17.24463,4.507667,11.02536,17.565438,3.960385,12.068472,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.220867726,1.407284892,1.747580176,1.449161951,66.92965736,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.955215235,1.407284892,2.027889369,2.041570186,129.3547671
17.24463,4.507667,11.02536,17.565438,3.960385,12.068472,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.220867726,1.407284892,1.747580176,1.449161951,66.48883133,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.955215235,1.407284892,2.027889369,2.041570186,129.1326634
17.250953,4.498283,11.039253,17.565438,3.960385,12.068472,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.203132089,1.407284892,1.735016471,1.447132727,66.66862155,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.955215235,1.407284892,2.027889369,2.041570186,128.5250083
17.250191,4.49727,11.040879,17.565438,3.960385,12.068472,17.457024,3.952533,11.120997,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.175944,2.132875,2.475245,18.666009,3.529965,11.304317,1.201488056,1.407284892,1.734825395,1.447943065,67.41996529,-0.284358,2.125023,1.52777,18.557595,3.522113,10.356842,0.953689742,1.407284892,2.026360066,2.041009834,131.4874194
17.250953,4.498283,11.039253,17.540567,4.001309,12.01836,17.457785,3.953553,11.119367,17.740784,1.827968,9.591394,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.200217,2.173341,2.426966,18.641736,3.570431,11.256038,1.135565913,1.406898663,1.685877345,1.436857036,72.70051949,-0.282999,2.125585,1.527973,18.558954,3.522675,10.357045,0.904058576,1.406898663,2.006531863,2.075237997,131.1510893
17.250953,4.498283,11.039253,17.540567,4.001309,12.01836,17.457785,3.953553,11.119367,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.200815,2.173799,2.425133,18.641138,3.570889,11.254205,1.135565913,1.407284892,1.684897127,1.435507624,68.04983149,-0.283597,2.126043,1.52614,18.558356,3.523133,10.355212,0.904058576,1.407284892,2.007637419,2.076591281,130.3385559
17.250804,4.497458,11.039313,17.54046,3.999963,12.017988,17.457636,3.952726,11.119427,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.200922,2.172453,2.424761,18.641031,3.569543,11.253833,1.135432353,1.407284892,1.68516355,1.435870936,76.91735572,-0.283746,2.125216,1.5262,18.558207,3.522306,10.355272,0.903605567,1.407284892,2.00713469,2.076329841,131.4843584
17.250953,4.498283,11.039253,17.548472,3.98795,12.033878,17.457024,3.952533,11.120997,17.74207,1.826033,9.594181,18.841999,1.396582,8.828634,NaN,NaN,NaN,-0.193598,2.161917,2.439697,18.648401,3.558499,11.268331,1.156821601,1.407243467,1.699568066,1.43832774,73.00926967,-0.285046,2.1265,1.526816,18.556953,3.523082,10.35545,0.918133335,1.407243467,2.012524965,2.065548606,132.4491304
17.250953,4.498283,11.039253,17.551821,3.982976,12.041251,17.457636,3.952726,11.119427,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.189561,2.155466,2.448024,18.652392,3.552556,11.277096,1.166217325,1.407284892,1.707337144,1.440795596,78.05827015,-0.283746,2.125216,1.5262,18.558207,3.522306,10.355272,0.927116694,1.407284892,2.016817993,2.060575351,133.0158895
17.257413,4.487196,11.051716,17.551821,3.982976,12.041251,17.457024,3.952533,11.120997,17.740739,1.828478,9.591834,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.188918,2.154498,2.449417,18.653035,3.551588,11.278489,1.148953174,1.407328586,1.695449524,1.43864641,81.94264157,-0.283715,2.124055,1.529163,18.558238,3.521145,10.358235,0.925624477,1.407328586,2.014623019,2.058719191,135.6417382
17.257413,4.487196,11.051716,17.551821,3.982976,12.041251,17.457024,3.952533,11.120997,17.742025,1.826543,9.594621,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.190204,2.156433,2.44663,18.651749,3.553523,11.275702,1.148953174,1.407244384,1.692952415,1.436072371,78.22002502,-0.285001,2.12599,1.526376,18.556952,3.52308,10.355448,0.925624477,1.407244384,2.015868154,2.061036221,134.4959377
17.257265,4.486371,11.051776,17.551673,3.982145,12.041316,17.456875,3.951706,11.121057,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.189709,2.154635,2.448089,18.652244,3.551725,11.277161,1.148960113,1.407284892,1.694204224,1.437359578,79.18859869,-0.284507,2.124196,1.52783,18.557446,3.521286,10.356902,0.925629419,1.407284892,2.015247099,2.05987553,134.6140863
17.257413,4.487196,11.051716,17.551821,3.982976,12.041251,17.457024,3.952533,11.120997,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.189561,2.155466,2.448024,18.652392,3.552556,11.277096,1.148953174,1.407284892,1.694200249,1.43735954,78.10762101,-0.284358,2.125023,1.52777,18.557595,3.522113,10.356842,0.925624477,1.407284892,2.015244333,2.059877503,134.8975441
17.256651,4.486183,11.053341,17.551059,3.981953,12.042894,17.457024,3.952533,11.120997,17.740625,1.826474,9.59484,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.189566,2.155479,2.448054,18.652387,3.552569,11.277126,1.148973065,1.40843694,1.694046578,1.436283759,79.4587635,-0.283601,2.126059,1.526157,18.558352,3.523149,10.355229,0.927147343,1.40843694,2.018255051,2.061205677,139.2662616
17.257413,4.487196,11.051716,17.555819,3.969933,12.041791,17.457024,3.952533,11.120997,17.74123,1.826673,9.59329,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185411,2.14326,2.448501,18.656542,3.54035,11.277573,1.156224744,1.40718223,1.70443266,1.443866338,80.82400077,-0.284206,2.12586,1.527707,18.557747,3.52295,10.356779,0.926242302,1.40718223,2.010701111,2.051260889,137.614906
16.856132,3.840611,11.861119,17.555819,3.969933,12.041791,17.457636,3.952726,11.119427,17.741382,1.82751,9.593227,18.841953,1.39709,8.829072,NaN,NaN,NaN,-0.185563,2.142423,2.448564,18.65639,3.539513,11.277636,0.734117463,1.407284892,1.916257103,2.162600137,75.77476559,-0.283746,2.125216,1.5262,18.558207,3.522306,10.355272,0.927734515,1.407284892,2.012336446,2.051906408,139.2166251
