year,fore-aft,lateral-force,norma-force
448,-0.14207,-0.16709,-0.10763
449,-0.14326,-0.15963,-0.11296
450,-0.12911,-0.18596,-0.11392
451,-0.15477,-0.16292,-0.10137
452,-0.12036,-0.16078,-0.1082
453,-0.164,-0.12938,-0.10693
454,-0.12657,-0.15136,-0.11661
455,-0.11901,-0.17739,-0.11228
456,-0.14028,-0.16606,-0.11227
457,-0.1348,-0.15441,-0.11856
458,-0.16023,-0.16641,-0.10059
459,-0.15778,-0.14635,-0.1175
460,-0.12524,-0.13891,-0.11115
461,-0.13614,-0.16083,-0.10369
462,-0.10228,-0.15692,-0.11841
463,-0.12888,-0.15647,-0.10275
464,-0.10921,-0.14884,-0.11171
465,-0.1327,-0.14189,-0.1141
466,-0.14218,-0.12793,-0.11589
467,-0.12031,-0.15725,-0.09952
468,-0.1413,-0.14006,-0.10752
469,-0.1052,-0.14763,-0.10898
470,-0.15161,-0.11212,-0.10872
471,-0.1413,-0.15006,-0.11302
472,-0.09029,-0.17,-0.09768
473,-0.1142,-0.12438,-0.10982
474,-0.13482,-0.131,-0.09854
475,-0.11464,-0.13378,-0.10771
476,-0.15883,-0.16007,-0.11571
477,-0.14293,-0.11561,-0.10436
478,-0.13484,-0.13702,-0.11076
479,-0.12307,-0.15102,-0.10876
480,-0.09432,-0.144,-0.1305
481,-0.11699,-0.16387,-0.097
482,-0.14713,-0.14079,-0.10967
483,-0.16151,-0.11589,-0.12208
484,-0.12341,-0.1315,-0.10016
485,-0.16459,-0.13153,-0.11915
486,-0.1285,-0.18861,-0.11265
487,-0.13161,-0.15205,-0.10903
488,-0.13447,-0.12822,-0.10808
489,-0.11388,-0.13446,-0.10826
490,-0.1387,-0.12022,-0.11862
491,-0.13904,-0.11866,-0.10821
492,-0.13166,-0.13218,-0.1068
493,-0.12371,-0.14406,-0.09957
494,-0.12895,-0.11987,-0.11056
495,-0.09804,-0.12278,-0.11454
496,-0.10935,-0.12484,-0.12027
497,-0.14176,-0.15756,-0.08057
498,-0.11847,-0.14359,-0.1135
499,-0.11356,-0.14768,-0.1056
500,-0.11075,-0.13829,-0.11117
501,-0.14087,-0.14474,-0.11311
502,-0.14337,-0.15628,-0.09978
503,-0.12159,-0.1415,-0.09985
504,-0.15007,-0.15301,-0.09858
505,-0.08358,-0.12525,-0.09974
506,-0.13713,-0.12293,-0.10272
507,-0.15737,-0.13681,-0.10445
508,-0.12851,-0.09433,-0.10238
509,-0.13122,-0.12208,-0.10414
510,-0.1164,-0.12646,-0.10574
511,-0.12135,-0.14121,-0.10689
512,-0.12968,-0.15083,-0.10348
513,-0.13534,-0.13776,-0.11029
514,-0.13124,-0.10684,-0.10963
515,-0.14469,-0.12725,-0.09941
516,-0.12083,-0.1239,-0.11003
517,-0.11018,-0.13951,-0.11128
518,-0.13166,-0.13398,-0.10236
519,-0.11616,-0.14278,-0.1043
520,-0.12901,-0.13985,-0.10617
521,-0.13625,-0.12135,-0.10407
522,-0.12866,-0.14719,-0.09838
523,-0.13447,-0.1032,-0.10589
524,-0.1027,-0.10805,-0.09125
525,-0.11318,-0.10402,-0.10077
526,-0.1206,-0.12889,-0.10746
527,-0.09173,-0.14468,-0.09754
528,-0.0922,-0.13858,-0.10834
529,-0.09329,-0.14493,-0.11105
530,-0.09969,-0.14761,-0.09946
531,-0.10584,-0.12359,-0.1166
532,-0.11421,-0.10595,-0.1032
533,-0.13704,-0.13732,-0.10808
534,-0.08869,-0.15152,-0.09743
535,-0.09429,-0.13664,-0.11447
536,-0.1059,-0.10727,-0.09867
537,-0.11342,-0.12001,-0.10556
538,-0.11335,-0.13711,-0.10445
539,-0.13861,-0.11966,-0.0938
540,-0.114,-0.1394,-0.10289
541,-0.09852,-0.10385,-0.10295
542,-0.08943,-0.13536,-0.09274
543,-0.0945,-0.10704,-0.11042
544,-0.12275,-0.11583,-0.0953
545,-0.10616,-0.1236,-0.09818
546,-0.11311,-0.11121,-0.11049
547,-0.13413,-0.09994,-0.10274
548,-0.11735,-0.10584,-0.09171
549,-0.06473,-0.12756,-0.11609
550,-0.13342,-0.12903,-0.10179
551,-0.14047,-0.11427,-0.10545
552,-0.10593,-0.07825,-0.10989
553,-0.1211,-0.1104,-0.10967
554,-0.12348,-0.13306,-0.10495
555,-0.11568,-0.11472,-0.10066
556,-0.13453,-0.09014,-0.09707
557,-0.08237,-0.1101,-0.10324
558,-0.10341,-0.12981,-0.08849
559,-0.11622,-0.10664,-0.10076
560,-0.07996,-0.12607,-0.10301
561,-0.10024,-0.11525,-0.09509
562,-0.08925,-0.14,-0.10485
563,-0.13835,-0.12406,-0.10505
564,-0.10744,-0.14492,-0.09213
565,-0.11647,-0.1331,-0.1071
566,-0.10247,-0.11,-0.10411
567,-0.11628,-0.12664,-0.10839
568,-0.09694,-0.13409,-0.10489
569,-0.09948,-0.08544,-0.099
570,-0.09859,-0.12423,-0.0995
571,-0.09635,-0.11925,-0.0998
572,-0.11244,-0.11292,-0.10352
573,-0.14109,-0.11346,-0.10306
574,-0.1177,-0.14138,-0.10528
575,-0.11112,-0.13626,-0.1074
576,-0.0984,-0.10797,-0.09614
577,-0.12654,-0.13153,-0.10501
578,-0.13016,-0.11487,-0.11241
579,-0.11352,-0.09741,-0.08857
580,-0.09052,-0.11697,-0.10293
581,-0.12073,-0.1243,-0.11386
582,-0.08505,-0.11453,-0.10141
583,-0.10123,-0.11314,-0.10988
584,-0.09475,-0.11394,-0.10181
585,-0.10566,-0.12661,-0.09496
586,-0.0898,-0.12415,-0.10766
587,-0.09847,-0.09334,-0.11137
588,-0.12034,-0.14561,-0.11447
589,-0.10517,-0.11754,-0.09113
590,-0.10666,-0.122,-0.10625
591,-0.09279,-0.11726,-0.09904
592,-0.08911,-0.10912,-0.10893
593,-0.11409,-0.14554,-0.09206
594,-0.09237,-0.13095,-0.11612
595,-0.08605,-0.10759,-0.10448
596,-0.08833,-0.11077,-0.10014
597,-0.13527,-0.11679,-0.10707
598,-0.12562,-0.1346,-0.11176
599,-0.09841,-0.11218,-0.10136
600,-0.11377,-0.09478,-0.09401
601,-0.08721,-0.11483,-0.11844
602,-0.10191,-0.12211,-0.11274
603,-0.12162,-0.13041,-0.11392
604,-0.12402,-0.12316,-0.10689
605,-0.10799,-0.13376,-0.11165
606,-0.11004,-0.09892,-0.09626
607,-0.11478,-0.1038,-0.08914
608,-0.12188,-0.08773,-0.10746
609,-0.12317,-0.12269,-0.10081
610,-0.10475,-0.11529,-0.09374
611,-0.10689,-0.10215,-0.10744
612,-0.11185,-0.1168,-0.11715
613,-0.13052,-0.14167,-0.11725
614,-0.12062,-0.10753,-0.1016
615,-0.11047,-0.10727,-0.10663
616,-0.1321,-0.09102,-0.11059
617,-0.13452,-0.10095,-0.10883
618,-0.12792,-0.11761,-0.10069
619,-0.10951,-0.13992,-0.09788
620,-0.10825,-0.10084,-0.11437
621,-0.11964,-0.13158,-0.10908
622,-0.08663,-0.11517,-0.10984
623,-0.11333,-0.11534,-0.09653
624,-0.09253,-0.08904,-0.10203
625,-0.10794,-0.11922,-0.09399
626,-0.11993,-0.12218,-0.09506
627,-0.14708,-0.14322,-0.10424
628,-0.13634,-0.12236,-0.10307
629,-0.10452,-0.1212,-0.10583
630,-0.09229,-0.11491,-0.10553
631,-0.10321,-0.09574,-0.09401
632,-0.11162,-0.12569,-0.10172
633,-0.11821,-0.09668,-0.09282
634,-0.11984,-0.10832,-0.10336
635,-0.11353,-0.11306,-0.08962
636,-0.09045,-0.11731,-0.09555
637,-0.14056,-0.12121,-0.09949
638,-0.09782,-0.12108,-0.10213
639,-0.11497,-0.12222,-0.10394
640,-0.13737,-0.1377,-0.10216
641,-0.16687,-0.10764,-0.10714
642,-0.12958,-0.14996,-0.09327
643,-0.12398,-0.11692,-0.12067
644,-0.13359,-0.12354,-0.09086
645,-0.11142,-0.13397,-0.11063
646,-0.14691,-0.13722,-0.10799
647,-0.14513,-0.14705,-0.10342
648,-0.16234,-0.16399,-0.1114
649,-0.11133,-0.12268,-0.11603
650,-0.12181,-0.14107,-0.10583
651,-0.14279,-0.16226,-0.10805
652,-0.15149,-0.17078,-0.111
653,-0.15822,-0.1562,-0.11066
654,-0.14096,-0.13669,-0.11159
655,-0.13042,-0.15819,-0.11772
656,-0.16918,-0.15323,-0.11775
657,-0.14383,-0.15969,-0.10189
658,-0.16951,-0.14626,-0.10992
659,-0.14029,-0.14222,-0.12054
660,-0.14663,-0.18142,-0.11464
661,-0.16106,-0.14896,-0.12794
662,-0.13325,-0.1656,-0.1243
663,-0.1473,-0.14558,-0.11531
664,-0.15075,-0.1651,-0.11984
665,-0.16922,-0.14519,-0.12811
666,-0.11856,-0.15444,-0.13272
667,-0.1017,-0.1775,-0.12168
668,-0.12989,-0.15819,-0.11022
669,-0.09951,-0.16457,-0.10518
670,-0.13892,-0.14917,-0.10916
671,-0.12646,-0.1585,-0.11708
672,-0.11701,-0.15287,-0.12951
673,-0.13393,-0.13305,-0.1148
674,-0.13852,-0.14516,-0.13449
675,-0.13062,-0.13744,-0.11022
676,-0.14335,-0.15987,-0.12279
677,-0.08724,-0.17046,-0.09583
678,-0.11772,-0.14998,-0.12538
679,-0.13086,-0.13886,-0.11314
680,-0.12465,-0.11371,-0.11165
681,-0.1238,-0.15688,-0.12655
682,-0.10848,-0.13091,-0.12783
683,-0.13099,-0.12981,-0.10642
684,-0.13325,-0.1401,-0.10481
685,-0.12104,-0.15222,-0.10102
686,-0.1376,-0.12337,-0.10617
687,-0.11893,-0.14462,-0.09045
688,-0.11926,-0.11788,-0.11222
689,-0.13325,-0.1419,-0.11364
690,-0.12765,-0.13431,-0.10118
691,-0.13019,-0.14365,-0.09675
692,-0.13032,-0.13603,-0.10549
693,-0.11464,-0.16699,-0.11411
694,-0.12533,-0.14346,-0.10977
695,-0.12471,-0.12115,-0.10111
696,-0.13964,-0.11787,-0.11404
697,-0.12316,-0.15643,-0.1134
698,-0.07949,-0.11504,-0.10274
699,-0.11828,-0.12707,-0.09401
700,-0.15731,-0.14084,-0.10648
701,-0.11483,-0.14301,-0.11135
702,-0.13169,-0.13658,-0.10104
703,-0.12226,-0.14821,-0.10481
704,-0.1176,-0.12988,-0.10858
705,-0.11517,-0.14208,-0.10351
706,-0.11225,-0.13282,-0.10641
