pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,ElbowLa,ElbowLb,ElbowLc,ElbowAng,EA DEG,"Pt5 - Pt2 (x,z)","Pt1 - Pt2 (x,z)","Pt5 - Pt1 (x,z)",HPR Comp Ang,HPR DEG,"Pt3 - Pt5 (y,z)","Pt2 - Pt3 (y,z)","Pt5 - Pt2 (y,z)",HPR Comp Ang,HED DEG,,Phase,Max Elb,,,,,Max Pro/Ret,,,,,Max Elev/Dep,,,,,Min Elb,,,,,Min Pro/Ret,,,,,Min Elev/Dep,,,,,Initial Elb,,,,,Initial Pro/Ret,,,,,Intial Elev/Dep,,,,,Final Elb,,,,,Final Pro/Ret,,,,,Final Elev/Dep
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,Initiation,120.7089452,,,,,2.201185634,,,,,#VALUE!,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.105627,0.660398,9.873817,1.632713404,2.399639136,3.346289388,1.932605755,110.73,3.658515189,0.760969726,3.518650221,1.282535924,106.5161045,4.144456226,0.991106507,4.732985745,2.113440554,121.091224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.072061,0.743726,9.848688,1.615720307,2.374604207,3.305902254,1.927533551,110.44,3.703336948,0.784350412,3.520447331,1.23098045,109.4700156,4.170846367,1.026199786,4.748375686,2.070001404,118.602344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.051842,0.759663,9.854189,1.664495601,2.374847802,3.326023513,1.912874924,109.60,3.727991112,0.730167763,3.608573922,1.308955947,105.0023487,4.207333686,0.991379137,4.769878688,2.080084628,119.1800702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.02842,0.776359,9.854258,1.657330515,2.396214238,3.342859456,1.915789433,109.77,3.694295496,0.707619886,3.604169655,1.347358657,102.8020355,4.172166979,1.004343738,4.757240362,2.097893151,120.2004234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.000131,0.80448,9.876537,1.658699137,2.37655455,3.336943136,1.92518771,110.31,3.664403239,0.721173138,3.599518095,1.382100902,100.8114514,4.191211518,0.956685037,4.767899634,2.12956118,122.0148678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.963643,0.80467,9.897836,1.678673263,2.405226072,3.379526986,1.927288144,110.43,3.644907565,0.700835383,3.596610458,1.405447883,99.47376799,4.186599966,0.996288052,4.755939871,2.084415415,119.4282061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.960382,0.843747,9.901759,1.67092767,2.395098964,3.382442442,1.943212466,111.34,3.695038693,0.730075051,3.58070373,1.315041804,104.6536548,4.171856756,1.048004735,4.797852096,2.113591695,121.0998837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.925145,0.856418,9.936358,1.666674365,2.388595435,3.389779627,1.958128905,112.19,3.713531397,0.678641875,3.636533628,1.365705009,101.7508669,4.201919043,1.023163979,4.796415489,2.094846534,120.0258651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.905821,0.869682,9.986738,1.678730098,2.367400646,3.396292289,1.973093192,113.05,3.655586038,0.761155207,3.523402484,1.292590899,105.9399968,4.203953027,1.038922079,4.796107069,2.078928999,119.1138576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.863366,0.923185,9.97348,1.681735319,2.383784556,3.432192298,1.990788685,114.06,3.658341732,0.764652688,3.529343185,1.297158289,105.6783047,4.220870365,0.958317508,4.790605864,2.118958076,121.4073547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.817013,1.006796,9.912343,1.669670191,2.39216151,3.427998391,1.988555697,113.94,3.606196397,0.711692598,3.525386677,1.358249629,102.1780288,4.190403003,1.007238831,4.76996012,2.088628827,119.6696168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.753565,1.036208,9.926061,1.660136858,2.365972556,3.441706963,2.031358065,116.39,3.635327617,0.708881379,3.537615351,1.335134493,103.5024285,4.233158824,1.012445827,4.821630947,2.096767753,120.1359429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
