pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,ElbowLa,ElbowLb,ElbowLc,ElbowAng,EA DEG,ElbowLa (x),Midline (1-2),Pt5 - Pt1,HPR Comp Ang,HPR DEG,Pt3 - Pt5,Pt2 - Pt3,Pt5 - Pt2,HPR Comp Ang,HED DEG
19.776214,6.534414,13.879652,20.37357,6.466102,14.127822,20.389658,6.488978,13.175061,20.73617,3.398536,11.978491,21.804051,2.518205,11.277703,21.041094,0.228858,11.73848,1.551275707,2.456731266,3.193343475,1.803193072,103.3153527,3.188958169,0.646855888,3.298827291,1.642212766,85.90813944,4.400796019,0.953035589,4.869195933,1.992546274,65.835508
19.717513,6.618877,13.810547,20.296416,6.522088,14.119889,20.321373,6.517587,13.208353,20.617416,3.49821,11.954516,21.747175,2.524764,11.33634,20.98574,0.307201,11.760149,1.614340138,2.382642018,3.218070779,1.843629042,105.6321631,3.138924451,0.65636968,3.200191887,1.560496707,90.59012472,4.409883012,0.911547112,4.871010593,2.014148118,64.59781351
19.644943,6.680332,13.806437,20.215182,6.567264,14.140187,20.242998,6.606061,13.15731,20.537232,3.602443,11.902822,21.668649,2.573547,11.414473,20.918853,0.344075,11.746843,1.605371033,2.375543992,3.284345606,1.91398397,109.6632036,3.089026243,0.660728068,3.133189709,1.531156732,92.2711815,4.393022874,0.983642417,4.835213779,1.939293937,68.88664219
19.544252,6.783084,13.715582,20.12654,6.612787,14.176773,20.167859,6.690495,13.128296,20.451623,3.609959,12.016959,21.592072,2.658362,11.3954,20.909871,0.427492,11.672782,1.610123089,2.349280727,3.233658183,1.885947321,108.0568219,3.143854292,0.742803105,3.094642349,1.385875333,100.5951925,4.388738438,1.051352725,4.834616101,1.902721697,70.98207717
19.469432,6.851232,13.733915,20.022387,6.723567,14.098814,20.086436,6.706282,13.158195,20.337735,3.694827,11.974579,21.492026,2.722702,11.399949,20.812458,0.490141,11.696307,1.614810938,2.352439021,3.251585704,1.896529919,108.6631601,3.073062166,0.662503217,3.088411206,1.486129286,94.85106411,4.354347094,0.940777803,4.826053568,2.004827332,65.13185522
19.381105,6.896581,13.742814,19.944665,6.813344,14.041274,19.97368,6.804287,13.08723,20.277967,3.79925,11.953583,21.420277,2.788092,11.409063,20.742608,0.513252,11.760512,1.619819332,2.399510096,3.324296997,1.921338047,110.0845611,3.01760924,0.637713294,3.09913152,1.594695365,88.63068596,4.35270798,0.954086989,4.809489413,1.976088277,66.77848176
19.308466,6.948264,13.722776,19.87314,6.87534,14.06003,19.892388,6.873499,13.082239,20.148699,3.864788,11.93628,21.331645,2.899788,11.380658,20.681638,0.600801,11.730578,1.624592886,2.414600243,3.313600523,1.896498494,108.6613595,3.050618159,0.657721055,3.094958803,1.530889979,92.2864653,4.322702512,0.977792733,4.794168126,1.977265161,66.71105127
19.227252,7.003027,13.691065,19.742559,6.908471,14.105004,19.794063,6.995836,13.037165,20.0293,3.959568,11.922223,21.223365,2.98736,11.402818,20.601508,0.703081,11.734916,1.625041899,2.39059109,3.311678349,1.913590687,109.6406701,3.081330165,0.66097413,3.036534446,1.395363519,100.0515595,4.328853192,1.071406913,4.762029048,1.876309547,72.49538191
19.081974,7.140258,13.640706,19.630176,6.972309,14.106489,19.708378,7.028187,13.032184,19.948676,4.039697,11.898585,21.118495,3.083798,11.369386,20.497324,0.848103,11.670491,1.600709522,2.339839688,3.246430927,1.911377733,109.5138772,3.115578001,0.719360296,3.050624907,1.364539644,101.8176374,4.280549237,1.075757214,4.755234025,1.917783621,70.11909247
18.989944,7.170296,13.681001,19.524752,7.067692,14.057217,19.563407,7.091158,13.037492,19.849854,4.091941,11.898227,21.011852,3.162499,11.321716,20.385173,0.878489,11.697945,1.595765245,2.398119369,3.263886191,1.883636394,107.9244155,3.113588305,0.653879251,3.107143008,1.455691382,96.59502756,4.286985983,1.019994965,4.767965823,1.959554991,67.72576927
